# Asi_20 - PAGES 2K UKHLWW Latewood width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_20 - UKHLWW
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Schweingruber, FH  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: UKHLWW
#	Location: Asia
#	Country: Altai Mountains (AT)
#	Northernmost_Latitude: 50.15
#	Southernmost_Latitude: 50.15
#	Easternmost_Longitude: 85.37
#	Westernmost_Longitude: 85.37
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_20
#	Earliest_Year: 1581
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##LRW	latewood ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	LRW
1581.0	1.217
1582.0	0.862
1583.0	0.991
1584.0	1.27
1585.0	0.695
1586.0	1.054
1587.0	0.785
1588.0	0.872
1589.0	0.748
1590.0	1.053
1591.0	0.708
1592.0	0.826
1593.0	0.92
1594.0	0.814
1595.0	0.91
1596.0	1.249
1597.0	0.746
1598.0	1.364
1599.0	1.138
1600.0	0.994
1601.0	0.575
1602.0	0.951
1603.0	0.934
1604.0	0.927
1605.0	1.032
1606.0	1.04
1607.0	1.079
1608.0	1.439
1609.0	1.084
1610.0	0.937
1611.0	1.496
1612.0	1.428
1613.0	1.095
1614.0	1.332
1615.0	1.313
1616.0	1.071
1617.0	0.692
1618.0	0.667
1619.0	0.63
1620.0	0.846
1621.0	0.525
1622.0	0.677
1623.0	0.576
1624.0	0.546
1625.0	0.639
1626.0	0.987
1627.0	0.675
1628.0	0.595
1629.0	0.706
1630.0	0.544
1631.0	0.815
1632.0	1.155
1633.0	1.054
1634.0	0.944
1635.0	1.366
1636.0	1.243
1637.0	1.326
1638.0	1.085
1639.0	0.918
1640.0	1.215
1641.0	0.881
1642.0	0.934
1643.0	0.802
1644.0	1.013
1645.0	0.982
1646.0	1.077
1647.0	0.969
1648.0	1.389
1649.0	1.579
1650.0	1.125
1651.0	1.073
1652.0	0.858
1653.0	0.95
1654.0	0.872
1655.0	0.996
1656.0	1.006
1657.0	1.744
1658.0	0.83
1659.0	1.262
1660.0	1.625
1661.0	1.206
1662.0	1.12
1663.0	0.987
1664.0	0.427
1665.0	0.312
1666.0	0.399
1667.0	0.517
1668.0	0.704
1669.0	0.893
1670.0	0.701
1671.0	1.017
1672.0	1.197
1673.0	0.936
1674.0	1.035
1675.0	0.842
1676.0	0.995
1677.0	0.89
1678.0	0.993
1679.0	1.173
1680.0	0.721
1681.0	1.242
1682.0	0.735
1683.0	0.879
1684.0	0.912
1685.0	0.736
1686.0	0.731
1687.0	0.576
1688.0	0.574
1689.0	0.726
1690.0	0.881
1691.0	0.916
1692.0	0.871
1693.0	1.685
1694.0	1.751
1695.0	1.037
1696.0	0.985
1697.0	0.735
1698.0	0.599
1699.0	1.005
1700.0	0.945
1701.0	1.14
1702.0	1.112
1703.0	0.786
1704.0	0.944
1705.0	0.56
1706.0	0.597
1707.0	0.93
1708.0	1.21
1709.0	1.245
1710.0	0.831
1711.0	0.919
1712.0	0.905
1713.0	0.864
1714.0	0.878
1715.0	1.051
1716.0	1.352
1717.0	1.186
