# EPICA Dome C - nss-Ca and Na Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:0::::P1_study_id:2485
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc-ca-na.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2005
# --------------------
# Title 
#	Study_Name: EPICA Dome C - nss-Ca and Na Data
# --------------------
# Investigators
#	Investigators:  Rothlisberger, R.; Bigler, M.; Wolff, E.W.; Joos, F.; Monnin, E.; Hutterli, M.A.
# --------------------
# Description_and_Notes
# 	Description: Chemical records of Calcium and Sodium obtained by continuous flow analysis. 
#	High-resoution data have been averaged to 50-yr. Non-Sea Salt Ca (nss-Ca) 
#	is calculated as total Ca minus 0.038*Na. 
# 
#	Data from 0 to 44850 yr BP are from EDC96 ice core, those from 43350 to 62000 yr BP from EDC99 ice core.
# 
#	Dating according to EPICA Dome C ice core timescales EDC1 and EDC2: 
#	ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 
#
#	Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl
# --------------------
# Publication
#	Authors: R. Röthlisberger, M. Bigler, E.W. Wolff, F. Joos, E. Monnin, and M.A. Hutterli
#	Published_Date_or_Year: 2004
#	Published_Title: Ice core evidence for the extent of past atmospheric CO2 change due to iron fertilisation
#	Journal_Name: Geophysical Research Letters
#	Volume: 31			
#	Edition: 	
#	Issue: L16207
#	Pages: 
#	DOI: 10.1029/2004GL020338
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: An extended high-resolution ice core record of dust
deposition over the past 60 ka from Dome C, Antarctica, is
presented. The data are in conflict with the idea that changes
in aeolian iron input into the Southern Ocean were the major
cause for the 80 ppm glacial-interglacial CO2 increase.
During the deglaciation, the CO2 increase shows a linear
relationship with the fall of the logarithm of the nss-Ca2+
flux, a proxy for dust deposition. However, the very large
variations in the nss-Ca2+ flux related to the glacial
Antarctic warm events A1 to A4 were accompanied by
small CO2 variations only. Our data-based analysis suggests
that decreased Southern Ocean dust deposition caused at
most a 20 ppm increase in CO2 at the last glacial-interglacial
transition. Rapid decreases in dust deposition to the
northern Pacific could have been responsible for a
maximum of 8 ppm in addition.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: EPICA Dome C
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: 75.1 
#	Southernmost_Latitude: 75.1
#	Easternmost_Longitude: 123.35
#	Westernmost_Longitude: 123.35
#	Elevation: 3233 m
# --------------------
# Data_Collection
#	Collection_Name: 04EPIC01
#	Earliest_Year: 61975
#	Most_Recent_Year: 25
#	Time Unit: years before 1950 AD
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yb_1950	Age,,,years before 1950,,,,,N 
##d18o	d18o,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
yb_1950	d18O
25	-386.24823
75	-392.579071
125	-397.371674
175	-397.058441
225	-396.463104
275	-398.523285
325	-399.182068
375	-401.044312
425	-399.008118
475	-397.681122
525	-400.794922
575	-392.9758
625	-394.727905
675	-398.570496
725	-401.669556
775	-397.161285
825	-391.98288
875	-395.500519
925	-398.542755
975	-397.964905
1025	-397.471283
1075	-396.869171
1125	-394.354523
1175	-393.700287
1225	-394.237915
1275	-395.562012
1325	-392.71637
1375	-392.131683
1425	-398.587952
1475	-396.664642
1525	-396.329285
1575	-397.18927
1625	-398.5914
1675	-396.711792
1725	-398.155762
1775	-397.246796
1825	-399.35495
1875	-394.088318
1925	-396.415161
1975	-399.009918
2025	-397.237732
2075	-396.726074
2125	-397.97757
2175	-399.673645
2225	-393.018463
2275	-399.044189
2325	-402.587952
2375	-403.355133
2425	-398.784088
2475	-397.637604
2525	-394.004913
2575	-395.517487
2625	-394.730804
2675	-398.441528
2725	-390.269745
2775	-391.430847
2825	-390.269104
2875	-398.50589
2925	-395.707092
2975	-398.012848
3025	-395.198303
3075	-393.303009
3125	-400.173279
3175	-398.136292
3225	-399.527771
3275	-397.775238
3325	-400.103241
3375	-397.27063
3425	-395.202576
3475	-394.20871
3525	-396.201233
3575	-392.681213
3625	-391.982513
3675	-392.408813
3725	-395.354614
3775	-396.148468
3825	-396.026611
3875	-397.303192
3925	-396.145325
3975	-394.551758
4025	-394.768188
4075	-395.180725
4125	-395.284119
4175	-394.098816
4225	-392.235016
4275	-398.152557
4325	-394.90799
4375	-396.109772
4425	-392.302795
4475	-397.661011
4525	-396.041168
4575	-395.668518
4625	-396.00647
4675	-396.069733
4725	-398.372375
4775	-397.746674
4825	-393.768433
4875	-392.928406
4925	-396.565796
4975	-395.793518
5025	-397.384186
5075	-393.47464
5125	-392.86673
5175	-398.564728
5225	-394.528046
5275	-393.893677
5325	-395.570892
5375	-402.9422
5425	-400.290771
5475	-400.330292
5525	-392.269135
5575	-396.42041
5625	-396.910828
5675	-392.949524
5725	-392.120789
5775	-394.795685
5825	-393.52005
5875	-399.550446
5925	-397.552673
5975	-395.637115
6025	-394.869812
6075	-396.350922
6125	-398.324493
6175	-397.139954
6225	-396.187347
6275	-401.345734
6325	-399.683044
6375	-394.383911
6425	-400.237762
6475	-395.03891
6525	-400.823486
6575	-401.199371
6625	-398.788513
6675	-395.884827
6725	-401.820557
6775	-397.631317
6825	-391.583496
6875	-397.814209
6925	-397.858917
6975	-400.078888
7025	-399.506927
7075	-400.019989
7125	-406.65271
7175	-402.145813
7225	-400.308319
7275	-395.956238
7325	-403.144653
7375	-400.233765
7425	-400.750214
7475	-394.360992
7525	-394.676361
7575	-400.062958
7625	-397.449554
7675	-393.151123
7725	-401.448914
7775	-398.630035
7825	-396.092865
7875	-400.894928
7925	-402.540802
7975	-403.366364
8025	-402.124115
8075	-406.003082
8125	-400.632507
8175	-400.888214
8225	-402.948792
8275	-403.211304
8325	-397.769958
8375	-401.891724
8425	-395.695801
8475	-397.411469
8525	-399.151245
8575	-399.951965
8625	-399.743073
8675	-398.376129
8725	-397.020081
8775	-395.838562
8825	-396.758789
8875	-396.909882
8925	-396.57428
8975	-401.152161
9025	-393.952606
9075	-395.46936
9125	-394.86441
9175	-393.952667
9225	-392.364227
9275	-395.100067
9325	-396.504089
9375	-391.274414
9425	-393.932129
9475	-389.547394
9525	-390.00528
9575	-390.840546
9625	-394.992279
9675	-391.822449
9725	-393.753479
9775	-392.36441
9825	-389.901276
9875	-392.198792
9925	-387.099274
9975	-390.909973
10025	-394.961853
10075	-390.065125
10125	-393.890747
