# Bahamas Sclerosponge Lead and Carbon Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1896
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/atlantic/acklins-sclerosponge2000.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 
#--------------------
# Title
#	Study_Name: Bahamas Sclerosponge Lead and Carbon Isotope Data
#--------------------
# Investigators
#       Investigators: Lazareth, C.E.; Willenz, P.; Navez, J.; Keppens, E.; Dehairs, F.; André, L.  
#--------------------
# Description_and_Notes
#	Description: Lazareth et al. 2000 Bahamas Sclerosponge Lead and Carbon Isotope Data  A specimen of Ceratoporella nicholsoni, 14 cm in diameter, was collected  in a reef crevice at a depth of 30 m on the fore-reef slope of Jamaica Bay  (southern tip of Acklins Island), Bahamas, in August 1985. A diamond saw  was used to cut a 5-mm-thick slab perpendicular to the surface of the specimen.  A maximum age of 390 yr was assigned to the specimen (9 cm high along growth axis), based on a mean annual growth rate of 230 � 45 mm/yr, obtained from in situ  labeling of 10 specimens with calcein over a 10 yr interval in Jamaica  (Willenz and Hartman, 1999).  Carbon isotope analysis was performed on a Finnigan Mat Delta E stable isotope-ratio mass spectrometer.  The Pb data were acquired by using laser-ablation inductively coupled plasma�mass spectrometry (LA-ICP-MS), a microanalysis technique allowing high spatial and thus temporal resolution. The LA-ICP-MS analyses were made with a frequency-quadrupled ultraviolet-wavelength (266 nm) Nd-YAG (neodymium-doped yttrium aluminum garnet) Fisons-VG microprobe and a Fisons-VG PlasmaQuad II+ mass spectrometer.
#--------------------
# Publication 
#       Authors: Lazareth, C.E.; Willenz, P.; Navez, J.; Keppens, E.; Dehairs, F.; André, L.
#       Published_Date_or_Year: 2000     
#       Published_Title: Sclerosponges as a new potential recorder of environmental changes: Lead in Ceratoporella nicholsoni.
#       Journal_Name: Geology
#       Volume: 28
#       Edition: 
#       Issue: 
#       Pages: 515-518
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Lazareth, C.E., P. Willenz, J. Navez, E. Keppens, F. Dehairs, and L. André. 2000. Sclerosponges as a new potential recorder of environmental changes: Lead in Ceratoporella nicholsoni. Geology 28:515-518.
#       Abstract: Lead concentrations have been analyzed on a 223 yr profile through the aragonitic skeleton of the reef-building Caribbean sclerosponge Ceratoporella nicholsoni by using laser-ablation inductively coupled plasma¿mass spectrometry. A parallel study of the d13C distribution in the skeleton validates the previously established mean annual growth rate of 230 µm/yr, at least for long-term important environmental changes. The Pb trend in the specimen displays a general increase from 0.30 ppm ca. A.D. 1760 to 2.15 ppm ca. A.D. 1984; a major threefold increase occurred after 1930. This Pb profile is analogous to results acquired from ice or coral cores and clearly highlights the potential of sclerosponges as a new proxy of environmental changes for time series extending over several centuries.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Jamaica Bay, Acklins Island, Bahamas, tropical North Atlantic
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Caribbean Sea>Bahamas
#	Country: Bahamas 
#	Northernmost_Latitude: 22.194121
# 	Southernmost_Latitude: 22.194121
# 	Easternmost_Longitude: -74.289559
# 	Westernmost_Longitude: -74.289559
# 	Elevation: -30 m
#------------------
# Data_Collection   
#	Collection_Name: 00baha01a
#	Earliest_Year: 1724
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: 
#------------------
# Species
#	Species_Name: Ceratoporella nicholsoni 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d13C	delta 13 Carbon, Ceratoporella nicholsoni, , permil VPDB, , Corals and Sclerosponges, 3 point running average, analytical technique: Finnigan Mat Delta E stable isotope-ratio mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d13C
1983	4.14
1981	4.18
1978	4.24
1975	4.3
1967	4.33
1964	4.34
1959	4.4
1956	4.41
1953	4.4
1950	4.38
1945	4.44
1943	4.36
1939	4.4
1937	4.38
1934	4.38
1930	4.36
1928	4.4
1925	4.53
1921	4.57
1917	4.59
1914	4.57
1910	4.59
1909	4.57
1906	4.64
1904	4.65
1900	4.69
1899	4.68
1896	4.67
1894	4.64
1891	4.62
1889	4.65
1885	4.65
1884	4.71
1880	4.72
1879	4.76
1875	4.8
1870	4.81
1869	4.86
1865	4.84
1861	4.83
1859	4.82
1857	4.84
1854	4.84
1851	4.82
1848	4.82
1845	4.76
1844	4.75
1842	4.73
1838	4.75
1834	4.78
1831	4.82
1827	4.87
1824	4.87
1821	4.89
1818	4.91
1816	4.93
1813	4.92
1811	4.9
1808	4.87
1804	4.9
1802	4.89
1798	4.91
1795	4.88
1791	4.88
1789	4.87
1785	4.88
1783	4.92
1779	4.94
1778	4.93
1773	4.94
1771	4.97
1768	4.98
1765	4.93
1762	4.93
1760	4.92
1756	4.96
1748	4.93
1748	4.94
1745	4.96
1742	4.94
1739	4.92
1737	4.83
1732	4.84
1730	4.88
1724	4.98
