# Greenland Ice Sheet Holocene d18O, Temperature, and Surface Elevation 
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:11148
#
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/vinther2009greenland.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2011
# --------------------
# Title 
#	Study_Name: Greenland Ice Sheet Holocene d18O, Temperature, and Surface Elevation  
# --------------------
# Investigators
#	Investigators: Vinther, B.m.; Buchardt, S.L.; Clausen, H.B.; Dahl-Jensen, D.; Johnsen, S.J.; Fisher, D.A.; Joerner, R.M.; Raynaud, D.; Lipenkov, V.; Andersen, K.K.; Blunier, T.; Rasmussen, S.O.; Steffensen, J.P.; Svensson, A.M. 
# --------------------
# Description_and_Notes
# 	Description: Oxygen isotope data and uplift correction plus surface temperature reconstruction and elevation calculations for 6 Greenland ice cores over the Holocene. 
#
#	Site locations: 
#	A84/A87 ice cores, Canada:     80.7°N,  73.1°W, 1730m elev.  
#	Camp Century core, Greenland: 77°10'N, 61°08'W, 1890m elev.  
#	NGRIP ice core, Greenland:     75.1°N,  42.3°W, 2920m elev.  
#	GRIP ice core, Greenland:     72°35'N, 37°38'W, 3230m elev.  
#	Renland ice core, Greenland:  71.27°N, 26.73°W, 2350m elev.  
#	DYE-3 ice core, Greenland:    65°11'N, 43°49'W, 2490m elev.  
#
#
# --------------------
# Publication
#	Authors: B.M. Vinther, S.L. Buchardt, H.B. Clausen, D. Dahl-Jensen, S.J. Johnsen, D.A. Fisher, R.M. Koerner, D. Raynaud, V. Lipenkov, K.K. Andersen, T. Blunier, S.O. Rasmussen, J.P. Steffensen, and A.M. Svensson
#	Published_Date_or_Year: 2009-09-17
#	Published_Title: Holocene thinning of the Greenland ice sheet
#	Journal_Name: Nature
#	Volume: 36			
#	Edition: 	
#	Issue: L20704
#	Pages: 
#	DOI: doi:10.1029/2009GL040104
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: On entering an era of global warming, the stability of the Greenland 
ice sheet (GIS) is an important concern, especially in the light of 
new evidence of rapidly changing flow and melt conditions at the GIS 
margins. Studying the response of the GIS to past climatic change may 
help to advance our understanding of GIS dynamics. The previous 
interpretation of evidence from stable isotopes (d18O) in water from 
GIS ice cores was that Holocene climate variability on the GIS differed 
spatially and that a consistent Holocene climate optimum - the unusually 
warm period from about 9,000 to 6,000 years ago found in many northern 
latitude palaeoclimate records - did not exist. Here we extract both 
the Greenland Holocene temperature history and the evolution of GIS 
surface elevation at four GIS locations. We achieve this by comparing 
d18O from GIS ice cores with d18O from ice cores from small marginal 
icecaps. Contrary to the earlier interpretation of d18O evidence from 
ice cores, our new temperature history reveals a pronounced Holocene 
climatic optimum in Greenland coinciding with maximum thinning near 
the GIS margins. Our d18O-based results are corroborated by the air 
content of ice cores, a proxy for surface elevation. State-of-the-art 
ice sheet models are generally found to be underestimating the extent 
and changes in GIS elevation and area; our findings may help to improve 
the ability of models to reproduce the GIS response to Holocene climate.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Renland
#	Location: North America>Greenland
#	Country: 
#	Northernmost_Latitude: 71.45
#	Southernmost_Latitude: 71.45
#	Easternmost_Longitude: 26.5
#	Westernmost_Longitude: 26.5
#	Elevation: 2350 m
# --------------------
# Data_Collection
#	Collection_Name: 09Renl01
#	Earliest_Year: 11700
#	Most_Recent_Year: 40
#	Time Unit: yrs b2k
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yr_b2k	Age,,,years before 2k AD,,,,,N
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
yr_b2k	d18O
40	-27.14
60	-26.76
80	-26.94
100	-27.86
120	-27.63
140	-27.23
160	-27.74
180	-27.77
200	-27.49
220	-27.38
240	-27.47
260	-27.74
280	-27.65
300	-27.97
320	-27.07
340	-27.26
360	-27.35
380	-27.63
400	-27.56
420	-27.34
440	-27.61
460	-27.13
480	-27.01
500	-27.5
520	-27.32
540	-27.48
560	-26.73
580	-27.58
600	-26.71
620	-26.72
640	-27.6
660	-27.63
680	-27
700	-27.17
720	-27.71
740	-27.46
760	-27.78
780	-27.32
800	-27
820	-27.5
840	-26.52
860	-27.23
880	-27.19
900	-27.32
920	-27.33
940	-27.48
960	-27.62
980	-27.27
1000	-27.65
1020	-27.02
1040	-26.78
1060	-27.23
1080	-27.13
1100	-27.42
1120	-26.96
1140	-27.04
1160	-27.22
1180	-26.82
1200	-27.04
1220	-27.94
1240	-27.49
1260	-26.41
1280	-27.02
1300	-27.28
1320	-27.4
1340	-27.49
1360	-27.38
1380	-27.5
1400	-27.15
1420	-27.33
1440	-27.29
1460	-26.92
1480	-27.17
1500	-27.11
1520	-26.82
1540	-27.95
1560	-27.31
1580	-26.97
1600	-26.51
1620	-26.64
1640	-27.25
1660	-27.16
1680	-27.3
1700	-26.8
1720	-27.55
1740	-26.97
1760	-27.58
1780	-27.43
1800	-27.64
1820	-27.47
1840	-26.97
1860	-27.02
1880	-26.79
1900	-26.92
1920	-27.58
1940	-27.1
1960	-27.19
1980	-27.03
2000	-27.09
2020	-27.11
2040	-26.33
2060	-26.92
2080	-27.79
2100	-26.92
2120	-27.2
2140	-27.29
2160	-26.8
2180	-26.98
2200	-27.66
2220	-27.46
2240	-27.38
2260	-26.9
2280	-27.34
2300	-26.81
2320	-26.96
2340	-27.84
2360	-27.46
2380	-27.39
2400	-27.15
2420	-27.67
2440	-26.78
2460	-27.44
2480	-27.11
2500	-27.81
2520	-27.6
2540	-26.69
2560	-26.76
2580	-26.75
2600	-26.9
2620	-27.1
2640	-27.52
2660	-26.88
2680	-26.71
2700	-26.78
2720	-27.24
2740	-27.58
2760	-27.2
2780	-27.04
2800	-26.69
2820	-27.09
2840	-27
2860	-27.08
2880	-27.25
2900	-26.95
2920	-27.04
2940	-27.33
2960	-26.84
2980	-26.18
3000	-27.17
3020	-26.82
3040	-26.68
3060	-27.18
3080	-26.96
3100	-27.12
3120	-26.97
3140	-26.88
3160	-27.35
3180	-26.49
3200	-26.59
3220	-27.19
3240	-27.38
3260	-27
3280	-26.67
3300	-26.76
3320	-27.17
3340	-26.64
3360	-26.93
3380	-26.94
3400	-27.2
3420	-26.61
3440	-26.93
3460	-26.95
3480	-26.76
3500	-26.84
3520	-26.74
3540	-27
3560	-26.94
3580	-26.53
3600	-26.93
3620	-27.11
3640	-26.48
3660	-26.23
3680	-26.37
3700	-26.44
3720	-26.59
3740	-26.52
3760	-26.68
3780	-26.89
3800	-26.78
3820	-26.47
3840	-27.15
3860	-27.1
3880	-26.83
3900	-26.72
3920	-26.36
3940	-26.41
3960	-26.35
3980	-26.71
4000	-26.41
4020	-26.61
4040	-27.06
4060	-26.75
4080	-26.65
4100	-26.41
4120	-26.81
4140	-26.88
4160	-26.79
4180	-26.46
4200	-26.29
4220	-26.46
4240	-27
4260	-26.55
4280	-27.02
4300	-26.69
4320	-26.67
4340	-26.8
4360	-27.01
4380	-26.88
4400	-26.44
4420	-26.52
4440	-26.11
4460	-26.47
4480	-26.57
4500	-26.17
4520	-26.74
4540	-26.47
4560	-26.98
4580	-26.99
4600	-26.49
4620	-26.23
4640	-26.54
4660	-26.68
4680	-27.19
4700	-26.75
4720	-26.92
4740	-26.58
4760	-26.63
4780	-27.07
4800	-27.03
4820	-26.75
4840	-26.07
4860	-26.63
4880	-26.73
4900	-26.32
4920	-26.5
4940	-26.35
4960	-26.35
4980	-26.86
5000	-26.41
5020	-26.83
5040	-26.77
5060	-26.3
5080	-26.7
5100	-25.7
5120	-26.81
5140	-26.86
5160	-26.38
5180	-26.42
5200	-26.29
5220	-26.46
5240	-26.56
5260	-26.68
5280	-26.51
5300	-26.47
5320	-25.88
5340	-25.95
5360	-26.2
5380	-26.62
5400	-26.9
5420	-26.76
5440	-27.01
5460	-26.75
5480	-26.93
5500	-26.71
5520	-26.62
5540	-26.84
5560	-26.27
5580	-26.56
5600	-26.93
5620	-27.13
