# AGASSIZ Ice Core
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------cu ide
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:2431
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/polar/agassiz/a77del18_1yr.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2015
# --------------------
# Title 
#	Study_Name: AGASSIZ Ice Core
#
# --------------------
# Investigators
#	Investigators: Fisher, D.A.; Koerner, R.M.; Reeh, N.
# --------------------
# Description_and_Notes
#	Description: 
#
# --------------------
# Publication
#	Authors: David A. Fisher, Roy M. Koerner, Niels Reeh
#	Published_Date_or_Year: 1995-03
#	Published_Title: Holocene climatic records from Agassiz Ice Cap, Ellesmere Island, NWT, Canada 
#	Journal_Name: The Holocene
#	Volume: 5
#	Edition: 	
#	Issue: 1 
#	Pages: 19-24
#	DOI: 10.1177/095968369500500103
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Four ice cores from the top of the Agassiz Ice Cap and down a flow line have been variously analysed for 8 (18O), ECM (solid conductivity) and ice-melt layer stratigraphy. Stratigraphic correlation of volcanic horizons is used to date the last 8000 years of the cores. The timescales at the Wisconsin/ Holocene transition are pinned at the new GRIP ice-core date. Both 8 and summer-melt records from cores A84 and A87 imply summer temperatures have decreased from 8000 BP to the present by about 2.0 degrees C. Differences in the various 8 series are explained in terms of local drift noise, excessive summer melt and ice flow originating from higher up the local dome where winter snow is scoured away. The present accumulation pattern along the flow line allows one to explain the smoothed differences in the delta records from 8000 BP to the present, but the massive summer melting between 8000 BP and the transition seems to have significantly altered the site and possibly introduced discontinuities. The massive summer melting in the early Holocene alters the volcanic acid (ECM) record in all the cores.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant: 
# --------------------
# Site_Information
#	Site_Name: Agassiz Ice Cap
#	Location: North America>Canada	
#	Country: Canada
#	Northernmost_Latitude: 80.7
#	Southernmost_Latitude: 80.7
#	Easternmost_Longitude: -73.1
#	Westernmost_Longitude: -73.1
#	Elevation: 1730 m
# --------------------
# Data_Collection
#	Collection_Name: 95Aga01
#	Earliest_Year: 1349
#	Most_Recent_Year: 1988 
#	Time Unit: AD
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	Age,,,year AD,,,,,N
##d18O	d18O,,,per mil SMOW,,ice cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing variables: NAN
#
age_AD	d18O
1977	-30.47
1976	-31.14
1975	-30.79
1974	-30.86
1973	-30.36
1972	-26.95
1971	-31.09
1970	-29.05
1969	-31.03
1968	-30.66
1967	-33.07
1966	-28.37
1965	-29.49
1964	-31.72
1963	-31.81
1962	-30.07
1961	-31.81
1960	-28.32
1959	-30.14
1958	-29.41
1957	-29.07
1956	-30.03
1955	-32.79
1954	-29.69
1953	-29.04
1952	-31.39
1951	-32.42
1950	-31.94
1949	-30.59
1948	-29.85
1947	-30.36
1946	-30.22
1945	-30.03
1944	-29.8
1943	-27.98
1942	-29.75
1941	-31.16
1940	-30.27
1939	-30.11
1938	-30.56
1937	-29.66
1936	-30.63
1935	-29.77
1934	-30.88
1933	-30.06
1932	-31.48
1931	-31.15
1930	-30.06
1929	-28.89
1928	-31.68
1927	-31.86
1926	-30.1
1925	-30.7
1924	-31.87
1923	-31.73
1922	-31.01
1921	-31.21
1920	-32.08
1919	-31.39
1918	-31.07
1917	-31.23
1916	-30.28
1915	-31.55
1914	-30.21
1913	-30.53
1912	-31.14
1911	-31.14
1910	-30.03
1909	-30.5
1908	-31.69
1907	-29.61
1906	-29.88
1905	-30.13
1904	-30.13
1903	-29.27
1902	-29.8
1901	-31.2
1900	-29.24
1899	-30.19
1898	-30.18
1897	-30.25
1896	-30.32
1895	-28.49
1894	-28.3
1893	-29.99
1892	-32.06
1891	-31.54
1890	-31.35
1889	-31.83
1888	-32.78
1887	-34.64
1886	-34.32
1885	-31.77
1884	-31.1
1883	-30.75
1882	-30.51
1881	-30.65
1880	-31.49
1879	-29.26
1878	-29.55
1877	-30.23
1876	-30.3
1875	-29.37
1874	-29.62
1873	-30.28
1872	-29.44
1871	-29.34
1870	-29.54
1869	-30.25
1868	-31.3
1867	-30.67
1866	-29.98
1865	-30.94
1864	-30.62
1863	-30.85
1862	-31.02
1861	-32.78
1860	-33.65
1859	-31.34
1858	-29.5
1857	-31.07
1856	-32.87
1855	-32.75
1854	-32.26
1853	-32.24
1852	-31.13
1851	-29.4
1850	-30.12
1849	-31.01
1848	-32.05
1847	-31.73
1846	-30.73
1845	-30.73
1844	-31.13
1843	-31.53
1842	-32.6
1841	-32.83
1840	-32.69
1839	-31.74
1838	-32.99
1837	-34.78
1836	-33.49
1835	-32.15
1834	-31.14
1833	-30.96
1832	-31.23
1831	-31.13
1830	-30.64
1829	-30.22
1828	-30.25
1827	-31.04
1826	-30.14
1825	-30.45
1824	-31.36
1823	-32.09
1822	-33.03
1821	-33.14
1820	-32.02
1819	-30.29
1818	-31.28
1817	-32.47
1816	-33
1815	-33.13
1814	-33.25
1813	-32.68
1812	-30.59
1811	-30.99
1810	-30.92
1809	-30.95
1808	-31.4
1807	-31.43
1806	-30.77
1805	-31.32
1804	-32.7
1803	-32.65
1802	-31.92
1801	-31.5
1800	-31.83
1799	-31.66
1798	-30.33
1797	-29.17
1796	-30.26
1795	-30.18
1794	-29.42
1793	-30.9
1792	-31.66
1791	-31.64
1790	-31.11
