# Asi_21 - PAGES 2K UKHEWD Earlywood density Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_21 - UKHEWD
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Schweingruber, FH  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: UKHEWD
#	Location: Asia
#	Country: Altai Mountains (AT)
#	Northernmost_Latitude: 50.15
#	Southernmost_Latitude: 50.15
#	Easternmost_Longitude: 85.37
#	Westernmost_Longitude: 85.37
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_21
#	Earliest_Year: 1581
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##early_d	earlywood density, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	early_d
1581.0	0.94
1582.0	0.974
1583.0	1.018
1584.0	0.997
1585.0	0.981
1586.0	0.949
1587.0	0.978
1588.0	0.98
1589.0	0.993
1590.0	0.95
1591.0	0.954
1592.0	1.036
1593.0	0.975
1594.0	0.961
1595.0	0.986
1596.0	0.996
1597.0	1.032
1598.0	0.971
1599.0	0.955
1600.0	0.954
1601.0	0.981
1602.0	0.912
1603.0	1.006
1604.0	0.987
1605.0	0.972
1606.0	0.972
1607.0	0.968
1608.0	0.978
1609.0	1.019
1610.0	0.958
1611.0	0.977
1612.0	1.048
1613.0	0.981
1614.0	1.009
1615.0	0.985
1616.0	0.951
1617.0	1.038
1618.0	0.992
1619.0	0.998
1620.0	1.021
1621.0	1.004
1622.0	0.924
1623.0	0.984
1624.0	0.931
1625.0	0.972
1626.0	0.991
1627.0	1.005
1628.0	1.07
1629.0	0.977
1630.0	0.982
1631.0	1.045
1632.0	1.066
1633.0	0.998
1634.0	0.989
1635.0	0.976
1636.0	1.055
1637.0	1.023
1638.0	1.064
1639.0	0.994
1640.0	1.003
1641.0	0.981
1642.0	0.966
1643.0	0.963
1644.0	0.987
1645.0	1.047
1646.0	0.998
1647.0	0.966
1648.0	1.006
1649.0	1.005
1650.0	0.984
1651.0	1.044
1652.0	1.032
1653.0	1.033
1654.0	0.973
1655.0	0.986
1656.0	0.983
1657.0	1.08
1658.0	0.99
1659.0	1.005
1660.0	1.067
1661.0	0.989
1662.0	1.028
1663.0	1.001
1664.0	0.922
1665.0	0.964
1666.0	0.965
1667.0	0.993
1668.0	1.033
1669.0	1.016
1670.0	0.981
1671.0	0.972
1672.0	0.984
1673.0	0.985
1674.0	0.984
1675.0	1.023
1676.0	0.991
1677.0	0.969
1678.0	0.986
1679.0	1.014
1680.0	1.022
1681.0	1.06
1682.0	1.009
1683.0	0.982
1684.0	0.95
1685.0	1.068
1686.0	0.946
1687.0	0.9
1688.0	1.018
1689.0	1.017
1690.0	1.048
1691.0	0.997
1692.0	0.973
1693.0	0.991
1694.0	1.033
1695.0	0.953
1696.0	0.964
1697.0	0.97
1698.0	0.965
1699.0	1.001
1700.0	0.984
1701.0	1.045
1702.0	1.011
1703.0	0.986
1704.0	1.016
1705.0	1.011
1706.0	0.98
1707.0	1.008
1708.0	1.044
1709.0	1.023
1710.0	1.004
1711.0	0.969
1712.0	1.021
1713.0	0.95
1714.0	1.055
1715.0	1.031
1716.0	1.064
1717.0	1.005
