# Quelccya Ice Core Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:2435
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/readme_quelccaya.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2014
# --------------------
# Title 
#	Study_Name: Quelccya Ice Core Data
# --------------------
# Investigators
#	Investigators:  Thompson, L.G.; Mosley-Thompson, E.; Grootes, P.; Pourchet, M.  
# --------------------
# Description_and_Notes
#	Description: This data set contains data derived from the Quelccaya Summit Ice Core by Drs. Lonnie Thompson and Ellen Mosley-Thompson of The 
#	Ohio State University.  The data was updated in May 1992 to extend the data period of record.  A printed documentation volume is now 
#	available from NGDC.  The data contained in the files 'Q83SUM.ALL' and 'Q83COR1.ALL' represent the annual information for the summit 
#	core and core 1, drilled in 1983.  The data for the year 1984 are from a pit excavated in the year following the drilling and thus the 1984 data 
#	are the same for both the summit core and core 1.
# --------------------
# Publication
#	Authors: L.G. Thompson, E. Mosley-Thompson, P. Grooties, and M. Pourchet
#	Published_Date_or_Year: 1984
#	Published_Title:  Tropical glaciers: potential for paleoclimatic reconstruction 
#	Journal_Name: Journal of Geophysical Research
#	Volume: 89
#	Edition: 	
#	Issue: D3
#	Pages: 4638-4646
#	DOI: 10.1029/JD089iD03p04638
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: The objective of this work is to evaluate the potential of tropical glaciers and ice caps for the reconstruction of past climatic conditions by the analysis of firm and ice cores. Samples were collected in pits and from cores retrieved on three snow fields in the South American Andes: Quelccaya Ice Cap and Huascarán in Peru and Chimborazo in Ecuador. These are compared with results from west Africa and Indonesia. Measurements include the microparticle concentration, oxygen isotopic abundance ratios, and total beta radioactivity, which in polar regions often exhibit seasonal depositional cycles. Annual variations in these three parameters are fairly well defined on Quelccaya and Huascarán and are apparently absent on Chimborazo, The Quelccaya Ice Cap contains the best preserved annual signal for all three parameters and, although in some instances the annual cycle is difficult to distinguish, the measurement of more than one stratigraphic parameter aids in the interpretation of the firm core records. The relatively flat bottom topography under Quelccaya suggests a simple ice flow regime, and depth-age calculations indicate that an ice core to bedrock should contain a record of 600 to 1300 years. This inference was confirmed by drilling to bedrock in 1983. This investigation of tropical glaciers indicates that the Quelccaya Ice Cap on the eastern edge of the Peruvian Andes has excellent potential to contain a lengthy and interpletable record of climatic conditions within the tropics of South America.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant: 
# --------------------
# Site_Information
#	Site_Name: Quelccaya Ice Cap
#	Location: South America> Peru
#	Country:  Peru
#	Northernmost_Latitude: -13.930
#	Southernmost_Latitude: -13.930
#	Easternmost_Longitude: -70.830
#	Westernmost_Longitude: -70.830
#	Elevation: 5670 m
# --------------------
# Data_Collection
#	Collection_Name: 84Quel01
#	Earliest_Year: 1900
#	Most_Recent_Year: 2002
#	Time_Unit: y_ad
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,year AD,,,,,N
##d18O	dO18,,,per mil SMOW,,ice cores,,,N
##accum	accumulaiton,,,meters,,ice cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	d18O	accum
1535	-18.82	1.155
1534	-18.41	2.001
1533	-18.8	1.435
1532	-19.17	1.4
1531	-18.02	1.624
1530	-14.33	1.091
1529	-18.05	1.704
1528	-17.2	1.039
1527	-14.98	1.041
1526	-17.65	1.285
1525	-18.06	1.287
1524	-15.88	1.047
1523	-18.02	1.292
1522	-16.64	1.294
1521	-15.77	1.296
1520	-16.07	0.79
1519	-19.11	1.301
1518	-18.92	1.058
1517	-17.96	1.57
1516	-18.17	1.573
1515	-19.41	1.063
1514	-19.16	1.635
1513	-18.59	1.314
1512	-15.84	1.069
1511	-17.18	1.586
1510	-17.59	1.321
1509	-17.43	1.323
1508	-17.76	1.076
1507	-18.47	1.328
1506	-16.84	1.33
1505	-17.49	1.081
1504	-17.1	0.812
1503	-18.6	1.337
1502	-19.82	1.339
1501	-19.4	1.088
1500	-16.99	0.818
1499	-17.13	1.696
1498	-18.24	1.758
1497	-18.32	1.467
1496	-18.59	1.176
1495	-18.64	1.531
1494	-18.04	0.885
1493	-17.6	1.477
1492	-16.71	0.888
1491	-17.29	1.482
1490	-17.54	1.544
1489	-16.81	0.892
1488	-17.29	1.191
1487	-17.2	1.253
1486	-17.05	1.494
1485	-18.56	1.496
1484	-19.3	1.818
1483	-19.25	1.181
1482	-17.38	1.463
1481	-19.01	1.185
1480	-19.05	1.026
1479	-19.84	0.886
1478	-19.86	1.19
1477	-17.83	1.192
1476	-17.82	1.194
1475	-18.8	1.784
1474	-18.64	1.198
1473	-17.69	1.2
1472	-18.47	1.201
1471	-18.88	1.203
1470	-17.24	1.205
1469	-18.47	1.207
1468	-18.32	0.902
1467	-18.39	1.478
1466	-19.13	1.172
1465	-18.1	0.885
1464	-16.46	0.887
1463	-17.7	1.177
1462	-16.47	0.889
1461	-20.62	0.891
1460	-17.8	0.892
1459	-21.19	1.184
1458	-19.74	1.478
1457	-19.77	0.896
1456	-17.03	1.19
1455	-16.31	0.899
1454	-16.85	1.487
1453	-18.41	1.195
1452	-16.98	1.197
1451	-16.53	0.904
1450	-17.73	0.906
1449	-18	1.203
1448	-18.63	0.993
1447	-17.91	1.312
1446	-16.64	1.166
1445	-16.36	1.167
1444	-17.16	0.787
1443	-17.09	0.979
1442	-18.07	1.578
1441	-19.86	1.367
1440	-17.98	1.369
1439	-20.57	1.178
1438	-19.61	1.18
1437	-17.18	0.795
1436	-16.9	1.183
1435	-16.79	1.185
1434	-16.98	1.187
1433	-18.76	1.383
1432	-17.64	0.996
1431	-16.43	1.192
1430	-17.67	1.606
1429	-15.76	0.804
1428	-16.79	0.806
1427	-18.85	1.003
1426	-18.41	1.201
1425	-19.96	1.203
1424	-18.75	1.402
1423	-17.86	1.009
1422	-19.28	1.011
1421	-16.75	0.814
1420	-16.92	1.212
1419	-18.81	0.816
1418	-18.93	1.017
1417	-18.2	1.217
1416	-16.66	1.02
1415	-18.1	1.221
1414	-17.54	1.423
1413	-18.07	0.623
1412	-17.69	0.624
1411	-17.11	0.826
1410	-16.98	1.029
1409	-17.31	1.232
1408	-18.37	0.83
1407	-18.67	1.235
1406	-19.28	0.832
1405	-19.72	1.239
1404	-18.81	0.835
1403	-17.89	1.039
1402	-18.13	1.244
1401	-17.92	1.246
1400	-18.27	1.248
1399	-18.84	0.841
1398	-19.72	0.842
1397	-18.36	1.686
1396	-17.58	1.415
1395	-17.5	0.846
1394	-17.85	1.144
1393	-17.13	0.848
1392	-17.4	1.125
1391	-19.52	1.15
1390	-15.73	1.151
1389	-17.07	1.13
1388	-18.36	1.155
1387	-18.25	0.856
1386	-17.45	0.857
1385	-17.27	1.16
1384	-17.07	0.859
1383	-17.9	1.442
1382	-18.04	1.165
1381	-16.01	0.863
1380	-17.36	0.864
1379	-16.75	1.17
1378	-17.49	0.562
1377	-17.87	0.892
1376	-16.96	0.564
1375	-15.22	0.894
1374	-16.37	1.155
1373	-18.07	1.204
1372	-16.76	0.425
1371	-16.46	0.876
1370	-16.04	0.664
1369	-15.3	0.878
1368	-15.82	1.094
1367	-17.21	0.881
1366	-17.6	0.882
1365	-18.18	1.313
1364	-18.99	1.315
1363	-19.38	1.102
1362	-20.58	1.103
1361	-20.43	0.889
1360	-17.34	0.89
1359	-17.29	1.325
1358	-17.6	0.893
1357	-18.19	1.111
1356	-18.08	0.895
1355	-19.06	0.896
1354	-21.09	1.553
1353	-20.79	1.118
1352	-17.67	0.681
1351	-16.84	1.121
1350	-16.35	1.123
1349	-16.63	1.124
1348	-17.25	1.126
1347	-18.02	1.569
1346	-17.48	0.687
1345	-16.58	1.131
1344	-19.36	1.133
1343	-17.81	1.134
1342	-19.24	0.914
1341	-21.52	1.138
1340	-17.55	1.139
1339	-15.33	0.918
1338	-16.56	1.143
1337	-18.21	1.144
1336	-16.2	0.698
1335	-18.21	0.923
1334	-17.75	1.374
1333	-18.76	0.926
1332	-17.48	0.702
1331	-16.36	1.154
1330	-18.04	1.156
1329	-16.72	0.705
1328	-15.46	0.706
1327	-16.78	1.388
1326	-18.21	0.708
1325	-18.67	0.76
1324	-16.44	1.445
1323	-19.3	1.168
1322	-18.65	0.89
1321	-18.38	0.866
1320	-17.47	1.173
1319	-15.35	0.894
1318	-16.7	0.87
1317	-19.05	1.178
1316	-18.32	0.898
1315	-17.35	0.874
1314	-17.17	0.901
1313	-17.12	0.876
1312	-18.75	1.187
1311	-19.35	0.879
1310	-18.03	0.906
1309	-18.97	0.881
1308	-19.02	0.909
1307	-19.19	0.884
1306	-17.87	0.911
1305	-17.59	0.6
1304	-17.63	1.201
1303	-18.02	0.889
1302	-18.28	0.917
1301	-18.2	0.892
1300	-17.63	1.209
1299	-19.37	0.921
1298	-18.79	0.922
1297	-18.14	0.977
1296	-18.55	0.978
1295	-20.75	0.953
1294	-18.26	0.981
1293	-15.66	0.956
1292	-16.23	0.665
1291	-17.34	0.639
1290	-16.13	0.987
1289	-16.69	0.962
1288	-17.52	0.99
1287	-18.12	1.313
1286	-19.32	0.644
1285	-17.87	0.994
1284	-17.07	0.969
1283	-19.22	1.321
1282	-19.83	0.999
1281	-19.57	1
1280	-17.35	1.3
1279	-18.65	1.003
1278	-19.86	1.331
1277	-18.46	0.979
1276	-18.52	1.008
1275	-16.66	1.009
1274	-19.5	1.284
1273	-18.97	0.602
1272	-19.38	1.288
1271	-19.39	0.988
1270	-19.31	0.962
1269	-15.57	0.963
1268	-15.69	0.992
1267	-17.9	1.298
1266	-16.59	0.968
1265	-15.94	0.665
1264	-15.72	0.971
1263	-17.14	1.333
1262	-16.78	1.308
1261	-17.52	0.975
1260	-17.91	1.005
1259	-16.64	0.978
1258	-14.39	0.672
1257	-17.01	0.981
1256	-18.27	0.674
1255	-19.51	1.322
1254	-18.38	0.986
1253	-20.37	1.015
1252	-20.38	0.989
1251	-19.94	1.33
1250	-18.34	1.02
1249	-16.4	0.993
1248	-19.28	0.711
1247	-18.55	1.253
1246	-17.32	0.656
1245	-16.88	1.285
1244	-15.78	0.629
1243	-17.83	0.974
1242	-17.46	0.947
1241	-18.13	0.661
1240	-17.77	0.95
1239	-14.71	1.297
1238	-17.17	1.299
1237	-17.24	0.954
1236	-18.06	0.984
1235	-18.59	1.305
1234	-18.45	0.958
1233	-18.11	1.309
1232	-17.46	0.99
1231	-15.41	0.642
1230	-14	0.672
1229	-14.51	0.644
1228	-16.42	0.997
1227	-17.72	0.646
1226	-17.72	1.323
1225	-18.64	1.325
1224	-20.34	0.973
1223	-21.18	1.654
1222	-17.95	1.006
1221	-15.63	1.333
1220	-17.81	0.979
1219	-19.02	1.367
1218	-19.09	0.655
1217	-18.73	0.954
1216	-16.22	0.657
1215	-15.77	0.658
1214	-19.17	1.288
1213	-19.07	0.96
1212	-17.72	0.962
1211	-15.65	0.662
1210	-17.88	0.965
1209	-18.51	0.966
1208	-19.41	0.665
1207	-17.78	0.969
1206	-16.61	0.667
1205	-16.81	0.972
1204	-18.2	0.974
1203	-19.28	0.975
1202	-18.14	0.977
1201	-18.25	0.978
1200	-18.42	0.98
1199	-19.12	0.981
1198	-17.71	0.676
1197	-17.42	0.984
1196	-18.15	0.986
1195	-19	1.327
1194	-20.09	0.989
1193	-18.95	0.681
1192	-18.19	0.992
1191	-17.48	0.994
1190	-17.96	0.684
1189	-17.55	0.997
1188	-16.94	0.655
1187	-17.78	0.938
1186	-18.28	1.158
1185	-17.46	0.878
1184	-17.31	0.879
1183	-16.3	1.164
1182	-17.91	0.882
1181	-16.98	1.451
1180	-19.85	1.169
1179	-20	1.456
1178	-18.82	2.029
1177	-17.37	1.46
1176	-17.1	1.463
1175	-17.75	1.752
1174	-17.69	2.361
1173	-17.29	1.182
1172	-18.43	1.184
1171	-18.82	0.577
1170	-18.49	0.578
1169	-18.09	1.479
1168	-18.29	0.902
1167	-18.71	0.581
1166	-18.97	0.582
1165	-17.44	1.488
1164	-16.4	1.199
1163	-17.16	0.909
1162	-18.07	1.203
1161	-19.65	1.498
1160	-18.76	1.207
1159	-18.56	1.209
1158	-18.13	0.589
1157	-17.57	1.212
1156	-16.8	0.919
1155	-16.52	0.92
1154	-16.48	0.922
1153	-16.05	0.923
1152	-16.16	0.595
1151	-16.95	1.224
1150	-17.95	0.928
1149	-14.76	1.228
1148	-18.05	0.931
1147	-18.12	1.232
1146	-16.76	0.6
1145	-16.34	0.935
1144	-16.71	0.602
1143	-17.03	1.843
1142	-16.16	1.544
1141	-17.33	0.605
1140	-18.22	1.549
1139	-17.18	0.944
1138	-18.31	0.946
1137	-18.11	1.252
1136	-18.6	0.61
1135	-17.44	0.95
1134	-16.9	0.952
1133	-17.54	0.953
1132	-18.6	0.955
1131	-17.57	1.264
1130	-17.96	0.958
1129	-19	0.719
1128	-17.79	1.167
1127	-18.19	1.169
1126	-17.81	0.792
1125	-19.67	1.551
1124	-17.57	0.794
1123	-16.31	0.796
1122	-16.35	1.178
1121	-16.96	0.798
1120	-18.38	1.182
1119	-17.45	1.775
1118	-15.45	1.36
1117	-17.87	0.908
1116	-18.89	0.804
1115	-18.5	1.191
1114	-18.36	0.807
1113	-17.04	1.195
1112	-17.16	0.809
1111	-17.58	1.199
1110	-17.59	0.812
1109	-16.79	1.591
1108	-15.97	0.815
1107	-15.61	0.816
1106	-16.06	0.817
1105	-14.3	0.819
1104	-15.48	1.212
1103	-16.5	0.821
1102	-15.68	1.216
1101	-16.2	0.824
1100	-17.02	1.22
1099	-17.47	0.826
1098	-17.35	0.9
1097	-15.51	1.045
1096	-17.14	0.939
1095	-18.79	1.193
1094	-15.65	1.992
1093	-17.45	1.197
1092	-19.82	1.998
1091	-21.27	0.8
1090	-19.23	1.202
1089	-18.8	2.007
1088	-18.03	0.804
1087	-17.72	0.805
1086	-18.27	0.807
1085	-18.09	2.02
1084	-19.08	0.809
1083	-18.82	0.811
1082	-19.91	1.218
1081	-19.64	0.813
1080	-17.38	2.036
1079	-18.3	0.816
1078	-17.9	1.225
1077	-17.32	0.818
1076	-18.5	0.819
1075	-18.75	0.821
1074	-19.12	1.233
1073	-20.64	0.823
1072	-19.02	0.825
1071	-18.57	0.826
1070	-19.39	1.654
1069	-19.61	0.828
1068	-17.88	1.245
1067	-16.9	0.831
1066	-16.4	1.211
1065	-18.53	1.364
1064	-17.24	1.138
1063	-17.36	0.76
1062	-17.19	0.761
1061	-17.94	1.144
1060	-19.68	1.146
1059	-19.86	1.147
1058	-18.76	1.149
1057	-15.08	0.767
1056	-15.24	1.153
1055	-15.8	0.77
1054	-16.81	1.156
1053	-17.88	1.158
1052	-17.35	0.773
1051	-17.44	1.162
1050	-19.22	0.776
1049	-18.23	1.165
1048	-15.84	1.167
1047	-16.84	0.779
1046	-18.87	1.171
1045	-18.37	1.172
1044	-18.53	1.174
1043	-18.62	0.784
1042	-19.01	1.178
1041	-19.53	1.179
1040	-18.82	1.181
1039	-18.51	0.789
1038	-18.17	1.185
1037	-16.48	1.582
1036	-17.45	0.792
1035	-19.13	0.794
1034	-18.89	0.795
1033	-17.98	1.194
1032	-16.67	0.757
1031	-16.57	1.118
1030	-16.21	1.479
1029	-16.32	0.841
1028	-17.43	0.762
1027	-17.77	0.763
1026	-17.69	1.166
1025	-17.57	0.765
1024	-17.05	1.17
1023	-16.87	1.172
1022	-16.91	0.769
1021	-17.51	0.77
1020	-18.22	1.583
1019	-17.97	1.951
1018	-19.12	1.18
1017	-18.14	0.775
1016	-17.73	0.776
1015	-18.45	1.594
1014	-14.75	1.597
1013	-16.93	0.779
1012	-18.89	0.78
1011	-18.78	1.193
1010	-18.44	0.783
1009	-18.26	0.784
1008	-18	1.198
1007	-16.9	1.613
1006	-17.56	1.989
1005	-17.61	1.203
1004	-17.32	1.62
1003	-16.94	1.207
1002	-17.66	0.792
1001	-18.12	0.793
1000	-18.57	0.794
999	-17.83	1.214
998	-17.32	0.796
997	-18.24	1.217
996	-19.85	1.219
995	-19.99	1.221
994	-17.39	1.644
993	-17.59	0.802
992	-17.93	0.803
991	-17.46	0.805
990	-17.3	0.806
989	-18.53	1.189
988	-19.38	0.808
987	-19.03	0.809
986	-18.91	0.81
985	-19.36	0.811
984	-18.26	0.813
983	-17.53	0.814
982	-17.54	0.815
981	-18.77	1.632
980	-19.12	1.204
979	-18.21	0.818
978	-17.32	1.639
977	-18	1.209
976	-18.61	1.211
975	-19.02	0.823
974	-19.32	1.431
973	-18.46	2.476
972	-17.58	2.044
971	-15.94	0.828
970	-16.98	0.829
969	-17.23	1.223
968	-17.37	0.831
967	-18.04	1.226
966	-17.69	0.833
965	-18.57	1.23
964	-18.1	1.671
963	-17.46	0.837
962	-19.12	1.235
961	-19.98	1.236
960	-17.9	0.84
959	-17.74	1.683
958	-19.57	1.685
957	-18.97	1.865
956	-17.56	1.2
955	-16.75	0.801
954	-18.5	3.165
953	-16.72	1.607
952	-17.14	1.207
951	-18.15	0.806
950	-19.35	1.21
949	-18.79	0.808
948	-18.11	0.809
947	-17.22	2.43
946	-16.62	0.811
945	-17.21	0.812
944	-18.22	1.22
943	-18.63	0.814
942	-17.94	0.815
941	-17.54	0.816
940	-17.44	0.817
939	-17.46	0.819
938	-17.06	0.82
937	-16.42	1.641
936	-16.92	2.374
935	-18.66	1.234
934	-18.74	1.236
933	-18.31	1.237
932	-18.56	1.239
931	-18.71	0.827
930	-18.66	1.242
929	-18.5	0.829
928	-17.98	0.83
927	-18	0.831
926	-17.11	0.832
925	-17.6	1.25
924	-18.27	0.834
923	-17.54	0.835
922	-17.53	1.673
921	-18.93	1.256
920	-18.17	1.258
919	-17.52	1.026
918	-18.22	1.121
917	-19.36	1.122
916	-18.89	1.124
915	-17.36	1.125
914	-17.13	0.751
913	-17.9	1.128
912	-18.38	1.129
911	-18.59	1.13
910	-18.96	0.755
909	-19.55	1.133
908	-18.54	1.135
907	-16.83	0.757
906	-16.28	1.137
905	-16.91	1.139
904	-18.08	1.33
903	-18.79	1.665
902	-18.37	0.667
901	-18.32	1.001
900	-18.62	1.002
899	-18.16	1.003
898	-16.2	1.005
897	-16.27	1.341
896	-14.98	1.391
895	-16.31	1.68
894	-18.14	1.105
893	-18.87	1.107
892	-18.87	1.108
891	-17.7	0.772
890	-16.54	0.773
889	-16.11	1.112
888	-16.43	1.113
887	-16.34	0.775
886	-16.79	1.116
885	-18.19	0.777
884	-17.47	2.674
883	-16.84	1.119
882	-17.33	0.78
881	-17.03	0.78
880	-15.94	1.123
879	-16.87	1.564
878	-17.23	1.223
877	-18.2	0.735
876	-18.23	1.766
875	-17.17	1.08
874	-16.43	0.737
873	-16.64	0.738
872	-17.92	1.084
871	-18.73	1.085
870	-19.01	0.74
869	-19.33	1.087
868	-18.86	1.088
867	-17.46	1.089
866	-17.73	1.785
865	-18.38	0.744
864	-17.9	0.745
863	-18.52	1.094
862	-19.51	1.095
861	-19.56	1.096
860	-18.71	2.195
859	-18.24	0.749
858	-17.4	1.45
857	-17.2	1.451
856	-17.54	0.751
855	-17.43	1.103
854	-17.87	1.807
853	-17.18	1.105
852	-16.73	1.81
851	-15.78	0.755
850	-15.74	1.108
849	-16.8	0.757
848	-17.89	1.111
847	-17.93	1.112
846	-18.03	1.821
845	-18.68	1.114
844	-19.13	1.115
843	-18.77	0.761
842	-18.66	1.473
841	-18.05	1.474
840	-18.29	1.119
839	-18.49	0.713
838	-18.39	1.121
837	-17.54	0.714
836	-17.53	1.481
835	-18.26	0.767
834	-18.3	0.767
833	-17.9	0.768
832	-17.9	0.769
831	-18.39	0.77
830	-18.82	1.13
829	-18.41	0.771
828	-18.8	1.903
827	-18.7	1.905
826	-17.89	1.134
825	-17.98	0.774
824	-17.85	1.136
823	-17.37	0.775
822	-16.9	1.5
821	-17.07	0.776
820	-17.07	0.777
819	-16.97	1.141
818	-17.1	0.778
817	-16.98	1.506
816	-17.03	0.78
815	-18.45	1.925
814	-18.42	0.781
813	-17.45	1.511
812	-17.46	1.147
811	-17.98	1.931
810	-19.24	1.515
809	-17.99	0.784
808	-17.83	1.361
807	-18.46	1.414
806	-17.44	1.52
805	-17.4	0.787
804	-16.96	1.942
803	-16.63	0.788
802	-17.19	0.789
801	-18.48	1.947
800	-18	1.527
799	-18	1.159
798	-18.32	0.791
797	-18.08	0.792
796	-19.29	1.532
795	-19.38	1.374
794	-18.93	2.116
793	-18.18	2.276
792	-17.72	2.172
791	-16.72	0.901
790	-15.92	0.902
789	-16.44	0.903
788	-17.52	0.903
787	-17.19	2.233
786	-17.59	1.33
785	-17.38	1.331
784	-17.13	1.332
783	-17.9	0.907
782	-18.72	0.907
781	-18.86	1.335
780	-18.49	0.908
779	-18.74	0.909
778	-18.01	1.766
777	-17.33	0.91
776	-16.88	1.822
775	-17.38	0.912
774	-18.09	0.912
773	-18.29	0.913
772	-18.92	0.913
771	-18.49	0.914
770	-18.26	0.914
769	-18.38	0.915
768	-18.69	0.916
767	-17.37	2.264
766	-15.69	1.78
765	-16.42	1.349
764	-17.92	2.268
763	-18.17	0.919
762	-18.14	0.919
761	-18.22	0.92
760	-17.89	0.92
759	-17.04	0.921
758	-16.38	0.921
757	-16.77	1.789
756	-17.39	0.922
755	-16.9	1.791
754	-17.59	1.792
753	-18.22	0.924
752	-18.05	1.359
751	-16.99	0.925
750	-17.48	2.069
749	-17.06	0.708
748	-17.27	0.708
747	-17.54	1.091
746	-17.95	0.546
745	-19.02	1.638
744	-18.3	0.874
743	-17.81	1.366
742	-17.46	0.875
741	-18	1.094
740	-18.11	1.095
739	-17.54	0.821
738	-17.24	0.877
737	-17.2	1.644
736	-17.5	0.548
735	-18.45	0.549
734	-18.77	0.549
733	-19.08	0.549
732	-17.4	1.099
731	-16.99	0.55
730	-16.99	0.55
729	-17.57	1.155
728	-18.16	2.697
727	-17.08	1.322
726	-17.29	0.937
725	-17.86	1.323
724	-18.65	0.937
723	-18.45	0.883
722	-17.65	1.38
721	-16.78	2.705
720	-16.78	1.326
719	-17.27	0.939
718	-17.69	1.327
717	-19.43	1.327
716	-19.65	2.213
715	-18.32	0.941
714	-17.89	2.215
713	-17.37	1.773
712	-17.4	1.385
711	-17.26	0.887
710	-17.68	0.943
709	-18.01	1.331
708	-17.87	0.943
707	-17.91	1.332
706	-17.84	2.221
705	-17.39	0.944
704	-17.5	0.889
703	-18.3	3.169
702	-18.01	0.945
701	-17.31	1.224
700	-17.35	0.612
699	-18.26	1.837
698	-18.52	0.613
697	-18.46	1.226
696	-18.71	0.947
695	-18.87	0.613
694	-19.66	0.948
693	-20.41	0.837
692	-20.41	1.953
691	-18.4	1.507
690	-17.58	0.949
689	-16.88	0.949
688	-16.4	2.402
687	-16.22	1.509
686	-16.91	0.95
685	-17.6	0.95
684	-18.05	0.951
683	-18.66	0.951
682	-18.29	22553
681	-18.09	16330
680	-18.28	13290
679	-18.64	20467
678	-17.06	19607
677	-17.2	36400
676	-18.86	27820
675	-19.7	20390
674	-18.65	35840
673	-17.59	32267
672	-17.67	22400
671	-17.46	22973
670	-16.96	34633
669	-17.39	25090
668	-17.22	25393
667	-17.26	28930
666	-17.63	19220
665	-17.02	27893
664	-16.8	27310
663	-17.46	28247
662	-18.13	15960
661	-17.9	25127
660	-17.96	28567
659	-18.15	24050
658	-18.09	25440
657	-17.8	37520
656	-16.98	24260
655	-17.37	17000
654	-18.56	28787
653	-18.04	17573
652	-18.35	12747
651	-19.19	20447
650	-19.22	30310
649	-19.08	23127
648	-19.66	22633
647	-19.76	32273
646	-19.98	22793
645	-18.84	25310
644	-16.39	19540
643	-15.28	21853
642	-15.9	19800
641	-16.87	17800
640	-18.13	18390
639	-17.77	19713
638	-16.99	14567
637	-16.69	21853
636	-17	18220
635	-17.14	19113
634	-17.4	21467
633	-18.04	16260
632	-17.92	24850
631	-17.59	24907
630	-17.64	16440
629	-17.37	25000
628	-17.02	21330
627	-17.53	15140
626	-18.57	21780
625	-19.54	22260
624	-19.08	18380
623	-17.97	18833
622	-18.24	27540
621	-19.12	20560
620	-19.19	26160
619	-17.81	24560
618	-15.95	23153
617	-16.06	19067
616	-16.99	17267
615	-16.58	19500
614	-16.47	15527
613	-17.06	16980
612	-17.77	16890
611	-17.38	22980
610	-17.28	19420
609	-18.39	17590
608	-18.14	24120
607	-17.78	30990
606	-16.48	46440
605	-16.04	22480
604	-16.43	15810
603	-16.76	14480
602	-17.08	29500
601	-17.71	31700
600	-18.09	24720
599	-18.17	36120
598	-18.09	30180
597	-18.17	27820
596	-18.16	35860
595	-16.85	38260
594	-16.21	38220
593	-17.08	14610
592	-18.27	22620
591	-18.32	26450
590	-17.43	47340
589	-17.48	26830
588	-17.94	18100
587	-18.26	27100
586	-18.1	56560
585	-17.03	25540
584	-16.9	35870
583	-16.41	21720
582	-14.85	16720
581	-15.11	17520
580	-16.5	27520
579	-16.99	31510
578	-17.08	24780
577	-17.58	19870
576	-18.45	16920
575	-19.15	29140
574	-18.48	20280
573	-17.57	18760
572	-17.15	23650
571	-16.98	43640
570	-16.54	33740
569	-17.16	26520
568	-18.99	26760
567	-19.08	21420
566	-18.92	15840
565	-18.25	18960
564	-17.89	25270
563	-17.54	19240
562	-17.54	26680
561	-17.53	22580
560	-17.28	24420
559	-17.23	25160
558	-17.66	23590
557	-18.47	24600
556	-18.14	11990
555	-17.67	21540
554	-17.61	24260
553	-17.92	12960
552	-17.39	26640
551	-16.47	25040
550	-16.52	12900
549	-16.63	27260
548	-17.17	18860
547	-17.71	21750
546	-17.41	27720
545	-17.02	24460
544	-17.46	28280
543	-17.36	18220
542	-16.46	27860
541	-16.49	25560
540	-16.25	24940
539	-15.35	18700
538	-16.44	33150
537	-17.39	16480
536	-17.37	28380
535	-17.29	26380
534	-16.96	22180
533	-16.69	14440
532	-17.46	12900
531	-18.21	33660
530	-18.01	19820
529	-16.57	20670
528	-17.03	12480
527	-17.47	12980
526	-17.75	25000
525	-17.54	31780
524	-16.49	26420
523	-17.23	31220
522	-18.8	26020
521	-19.32	28300
520	-19.04	26460
519	-18.34	23500
518	-17.14	30260
517	-16.85	20560
516	-17.13	20230
515	-17.51	21000
514	-17.83	23460
513	-18.48	21350
512	-18.75	16620
511	-18.81	17400
510	-18.39	19110
509	-18.5	16390
508	-18	23870
507	-17.57	17170
506	-17.79	17390
505	-18.11	21190
504	-18.87	35560
503	-18.95	18200
502	-18.24	19700
501	-17.83	24210
500	-18.06	22340
499	-18.29	22110
498	-18.11	25210
497	-17.99	22060
496	-17.33	18980
495	-16.72	18410
494	-16.65	16100
493	-17.23	22820
492	-17.73	20920
491	-17.55	20730
490	-17.14	23600
489	-16.88	22010
488	-17.24	37080
487	-18.57	27840
486	-17.47	27460
485	-16.48	31840
484	-16.47	15630
483	-16.76	32480
482	-17.18	25250
481	-17.75	16420
480	-17.69	26220
479	-17.89	30360
478	-18.4	33860
477	-18.63	36440
476	-18.88	41680
475	-19.05	37080
474	-18.56	48120
473	-17.44	23000
472	-17.35	24760
471	-17.65	34780
470	-18.32	27840
469	-18.31	31440
468	-17.36	30170
467	-16.09	27420
466	-16	33440
465	-17.17	32560
464	-17.68	41800
463	-17.39	28840
