# Asi_23 - PAGES 2K UKHMND Minimum density Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_23 - UKHMND
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Schweingruber, FH  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: UKHMND
#	Location: Asia
#	Country: Altai Mountains (AT)
#	Northernmost_Latitude: 50.15
#	Southernmost_Latitude: 50.15
#	Easternmost_Longitude: 85.37
#	Westernmost_Longitude: 85.37
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_23
#	Earliest_Year: 1581
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##min_d	minimum density, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	min_d
1581.0	0.947
1582.0	0.983
1583.0	1.002
1584.0	0.968
1585.0	1.004
1586.0	0.953
1587.0	0.989
1588.0	0.99
1589.0	1.009
1590.0	0.993
1591.0	0.976
1592.0	1.013
1593.0	0.996
1594.0	0.979
1595.0	1.016
1596.0	0.964
1597.0	1.019
1598.0	0.997
1599.0	0.951
1600.0	0.892
1601.0	0.988
1602.0	0.877
1603.0	1.021
1604.0	0.965
1605.0	1.013
1606.0	0.997
1607.0	0.962
1608.0	0.927
1609.0	0.969
1610.0	0.99
1611.0	0.974
1612.0	0.999
1613.0	0.979
1614.0	1.022
1615.0	0.974
1616.0	0.96
1617.0	1.066
1618.0	0.992
1619.0	1.011
1620.0	0.999
1621.0	1.011
1622.0	0.985
1623.0	0.994
1624.0	0.933
1625.0	0.948
1626.0	0.979
1627.0	1.018
1628.0	1.053
1629.0	1.008
1630.0	1.008
1631.0	1.053
1632.0	1.007
1633.0	1.043
1634.0	0.991
1635.0	0.961
1636.0	1.02
1637.0	0.994
1638.0	1.038
1639.0	1.01
1640.0	1.021
1641.0	1.01
1642.0	0.978
1643.0	0.986
1644.0	0.957
1645.0	1.034
1646.0	0.99
1647.0	0.979
1648.0	1.001
1649.0	0.975
1650.0	0.955
1651.0	1.053
1652.0	1.014
1653.0	1.028
1654.0	0.953
1655.0	0.979
1656.0	0.965
1657.0	1.061
1658.0	1.012
1659.0	0.983
1660.0	1.037
1661.0	0.989
1662.0	1.047
1663.0	0.98
1664.0	0.982
1665.0	1.029
1666.0	0.975
1667.0	0.973
1668.0	1.04
1669.0	0.98
1670.0	1.016
1671.0	0.947
1672.0	1.004
1673.0	0.966
1674.0	0.978
1675.0	1.044
1676.0	0.993
1677.0	0.984
1678.0	0.994
1679.0	0.997
1680.0	1.064
1681.0	1.043
1682.0	1.054
1683.0	1.009
1684.0	0.973
1685.0	1.109
1686.0	0.964
1687.0	0.946
1688.0	1.05
1689.0	0.982
1690.0	1.051
1691.0	1.017
1692.0	0.942
1693.0	0.968
1694.0	1.019
1695.0	0.992
1696.0	0.971
1697.0	0.998
1698.0	1.033
1699.0	1.008
1700.0	0.956
1701.0	1.047
1702.0	1.011
1703.0	1.002
1704.0	0.987
1705.0	1.041
1706.0	1.006
1707.0	0.997
1708.0	1.046
1709.0	1.023
1710.0	1.025
1711.0	0.991
1712.0	1.003
1713.0	0.939
1714.0	1.044
1715.0	0.985
1716.0	1.029
1717.0	1.01
1718.0	1.049
1719.0	0.978
1720.0	0.97
1721.0	1.057
1722.0	0.999
1723.0	1.056
1724.0	1.046
1725.0	1.061
1726.0	1.046
1727.0	1.035
1728.0	0.974
1729.0	0.974
1730.0	0.944
1731.0	0.993
1732.0	0.941
1733.0	1.013
1734.0	1.074
1735.0	1.045
1736.0	0.935
1737.0	0.987
1738.0	0.99
1739.0	0.982
1740.0	0.931
1741.0	0.896
1742.0	0.918
1743.0	1.004
1744.0	0.933
1745.0	0.948
1746.0	0.947
1747.0	0.971
1748.0	0.976
1749.0	0.932
1750.0	0.963
1751.0	0.969
1752.0	0.994
1753.0	0.965
1754.0	1.042
1755.0	0.939
1756.0	0.931
1757.0	0.95
1758.0	0.959
1759.0	0.958
1760.0	1.092
1761.0	0.992
1762.0	1.02
1763.0	1.013
1764.0	0.999
1765.0	0.978
1766.0	1.016
1767.0	1.031
1768.0	0.976
1769.0	1.013
1770.0	0.956
1771.0	0.991
1772.0	0.987
1773.0	0.987
1774.0	0.95
1775.0	0.974
1776.0	1.009
1777.0	1.003
1778.0	1.089
1779.0	1.027
1780.0	0.956
1781.0	1.003
1782.0	0.964
1783.0	0.895
1784.0	0.884
1785.0	0.899
1786.0	1.03
1787.0	0.959
1788.0	0.954
1789.0	0.925
1790.0	0.985
1791.0	1.045
1792.0	1.053
1793.0	1.048
1794.0	0.988
