# Ras Um Sidd Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: 
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2015-11-11
#--------------------
# Title
#	Study_Name: Ras Um Sidd Coral Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Moustafa, Y.; Wefer, G.; Henrich, R.; Hempel, G.; Patzold, J.
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Moustafa, Y.; Wefer, G.; Henrich, R.; Hempel, G.; Patzold, J.
#       Published_Date_or_Year: 2000
#       Published_Title: Paleoclimatic Reconstructions of the Northern Red Sea During the Holocene Inferred from Stable Isotope Records of Modern and Fossil Corals and Molluscs
#       Journal_Name: Dissertation
#       Volume: 
#       Edition: 
#       Issue: 
#       Pages: 
#       DOI: 
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: In this study we report high-resolution 96 and 50 year records of coral 8 18 0, extracted from two different Porites colonies (RUS-93a and RUS-93b, respectively). They are about 250 m apart, from Ras Umm Sidd, off the southern Sinai co ast, in the northern Red Sea proper. The correlation coefficients between fom coral 8 18 0 records from Ras Umm Sidd vary on an annual time scale. The two additional 8 18 0 records were obtained previously from two other colonies (RUS-95, Felis 1999, and RUS-l, Pätzold and Klein, unpublished data), which grew in the same environment about 500 m away. Therefore, we suggest that local biological (individual) effects play a maj or role in the coral 8 18 0 records. As a test, we correlate the different 8 18 0 records with the eOADS sea-surface temperature (at al1l1Ual time scales and four time intervals, 1907-1916, 1919-1939, 1946-1966 and 1976-1992). The correlation coefficients are also different among the different 8 18 0 records and eOADS SST on annual time scales. Excluding the data gaps, the correlation coefficients varied from -0,45 (RUS-95) to -0.60 (RUS-93a). A 3-coral average composite Ö 18 0 re cord was constructed from 1907- 1992. Regression analysis between annual SST and this 3-coral average 8 18 0 re cord yields a much better and significant correlation (r=-0.68) also excluding the data gaps. Therefore, based on this study, it is advisable to analyse more  than one coral from a given locality to obtain a reliable coral 8 18 0 record that can be used in coral-based paleoclimate studies. The Ö I8 0/SST gradient varied between 0.15 to 0.18%%e, with a mean value of 0.165%ofOe as in a previous study by Felis (1999). The 8 18 0 record of RUS-93a indicates a warming in the twentieth century of about 1.1 oe. Pronounced cyclicities of 10 and 3.6 years are evident when cross-spectral analysis is applied to the bimonthly 8 18 0 time series of RUS-93a and RUS-93b. The 3.6-year period is coherent with a similar cyclicity in the Southern Oscillation Index (SOl). Also, a highly coherent 5.8 cyclicity is evident. This period is also present in the 8 18 0 of RUS-95 (Felis 1999), and happens to be the most prominent period in the co-spectrum of the Northern Atlantic Oscillation (NAO) and EI-Nino Southern Oscillation (ENSO).
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Ras Um Sidd
#       Location: Ocean>Indian Ocean>Red Sea
#	Country: Egypt 
#	Northernmost_Latitude: 27.8483 
# 	Southernmost_Latitude: 27.8483 
# 	Easternmost_Longitude: 34.31 
# 	Westernmost_Longitude: 34.31 
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 00reds02a 
#	Earliest_Year: 1897
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length: .999 m
#	Notes: {"database":"PAGES2"}{"database":"LMR_FM"} Ras Um Sidd RUS-93a 
#------------------
# Species
#	Species_Name: Porites spp.
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Porites spp, , permil VPDB, , Corals and Sclerosponges, , Mass spectrometer Finnigan MAT 251,N
##depth	depth, Porites lutea, , cm, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	depth
1993.12	-3.05	0.4
1992.86	-3.63	0.6
1992.66	-3.53	0.75
1992.39	-3.47	0.95
1992.12	-3.1	1.15
1991.91	-3.45	1.35
1991.7	-3.69	1.55
1991.49	-3.81	1.75
1991.28	-3.35	1.95
1991.12	-3.14	2.1
1990.91	-3.52	2.3
1990.76	-3.76	2.45
1990.55	-3.55	2.65
1990.34	-3.11	2.85
1990.12	-3.09	3.05
1989.91	-3.3	3.2
1989.62	-3.56	3.4
1989.41	-3.71	3.55
1989.12	-3.21	3.75
1988.98	-3.36	3.9
1988.84	-3.44	4.05
1988.65	-3.8	4.25
1988.51	-3.9	4.4
1988.32	-3.72	4.6
1988.12	-3.23	4.8
1987.91	-3.31	5
1987.7	-3.63	5.2
1987.49	-3.76	5.4
1987.34	-3.28	5.55
1987.12	-3.13	5.75
1986.86	-3.62	5.95
1986.66	-3.9	6.1
1986.39	-3.7	6.3
1986.12	-3.21	6.5
1985.93	-3.47	6.7
1985.74	-3.57	6.9
1985.55	-3.54	7.1
1985.41	-3.83	7.25
1985.27	-3.48	7.4
1985.12	-3.31	7.55
1984.95	-3.35	7.75
1984.78	-3.8	7.95
1984.65	-3.7	8.1
1984.47	-3.79	8.3
1984.3	-3.37	8.5
1984.12	-3.12	8.7
1983.91	-3.4	8.85
1983.7	-3.57	9
1983.41	-3.84	9.2
1983.12	-2.97	9.4
1982.72	-3.72	9.6
1982.42	-3.97	9.75
1982.12	-3.32	9.9
1981.82	-3.41	10.1
1981.59	-3.81	10.25
1981.36	-3.88	10.4
1981.12	-3.22	10.55
1980.87	-3.51	10.75
1980.69	-3.51	10.9
1980.5	-3.86	11.05
1980.31	-3.91	11.2
1980.12	-3.14	11.35
1980	-3.15	11.5
1979.87	-3.53	11.65
1979.71	-3.59	11.85
1979.58	-3.77	12
1979.46	-3.82	12.15
1979.29	-3.62	12.35
1979.12	-2.93	12.55
1978.97	-3.15	12.7
1978.78	-3.49	12.9
1978.62	-3.84	13.05
1978.42	-3.07	13.25
1978.28	-3.05	13.4
1978.12	-2.69	13.55
1977.89	-3.46	13.75
1977.65	-3.91	13.95
1977.48	-3.74	14.1
1977.3	-3.42	14.25
1977.12	-3.1	14.4
1976.93	-3.17	14.6
1976.79	-3.58	14.75
1976.6	-3.74	14.95
1976.46	-3.68	15.1
1976.32	-3.69	15.25
1976.12	-3.08	15.45
1975.99	-3.19	15.6
1975.85	-3.33	15.75
1975.72	-3.74	15.9
1975.62	-3.85	16
1975.44	-3.6	16.2
1975.26	-3.11	16.4
1975.12	-3.1	16.55
1974.86	-3.56	16.75
1974.59	-3.77	16.95
1974.39	-3.77	17.1
1974.12	-3.11	17.3
1973.89	-3.46	17.5
1973.71	-3.6	17.65
1973.48	-3.78	17.85
1973.3	-3.61	18
1973.12	-3.16	18.15
1972.97	-3.39	18.3
1972.78	-3.78	18.5
1972.62	-3.66	18.65
1972.47	-3.66	18.8
1972.28	-3.55	19
1972.12	-3.08	19.15
1971.96	-3.56	19.3
1971.79	-3.63	19.45
1971.62	-3.61	19.6
1971.46	-3.64	19.75
1971.29	-3.59	19.9
1971.12	-3.16	20.05
1970.91	-3.33	20.2
1970.62	-3.59	20.4
1970.41	-3.83	20.55
1970.12	-3.2	20.75
1969.93	-3.47	20.95
1969.79	-4.09	21.1
1969.65	-3.72	21.25
1969.46	-3.73	21.45
1969.32	-3.45	21.6
1969.12	-3.22	21.8
1968.97	-3.28	22
1968.86	-3.42	22.15
1968.74	-3.47	22.3
1968.59	-3.72	22.5
1968.47	-3.59	22.65
1968.36	-3.53	22.8
1968.2	-3.26	23
1968.12	-3.22	23.1
1967.91	-3.42	23.35
1967.78	-3.59	23.5
1967.6	-3.66	23.7
1967.43	-3.33	23.9
1967.26	-3.13	24.1
1967.12	-2.94	24.25
1967.01	-3.46	24.4
1966.85	-3.46	24.6
1966.68	-3.58	24.8
1966.53	-3.44	25
1966.44	-3.49	25.1
1966.29	-3.23	25.3
1966.12	-3.14	25.5
1965.97	-3.32	25.7
1965.82	-3.65	25.9
1965.66	-3.56	26.1
1965.51	-3.84	26.3
1965.36	-3.29	26.5
1965.28	-2.99	26.6
1965.12	-2.97	26.8
1965.03	-3.3	26.9
1964.83	-3.46	27.1
1964.72	-3.44	27.2
1964.53	-3.71	27.4
1964.42	-3.66	27.5
1964.22	-3.35	27.7
1964.12	-3	27.8
1963.98	-3.02	28
1963.91	-3.35	28.1
1963.77	-3.75	28.3
