# Aqaba Jordan Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:0::::P1_STUDY_ID:1854
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/red_sea/aq19-13c.txt
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/red_sea/readme_aqaba.txt
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/image/coral/aq19c13.gif
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 1995-08-01
#--------------------
# Title
#	Study_Name: Aqaba Jordan Coral Isotope Data
#--------------------
# Investigators
#       Investigators: Heiss, G. A.
#--------------------
# Description_and_Notes
#	Description: Site: Aqaba, Jordan, Marine Science Station Reef, cores C18 and C19 (29 deg 26' N, 34 deg 58' E)  Water Depth 1m. collected  11/01/92 (upper 0-120cm), 11/01/93 (120-320cm) Coral species: Porites sp.  In fall 1992 and spring 1993 we drilled an unusual big colony of Porites sp. at the fore-reef at Aqaba.  The colony is situated in front of the reef edge of the fringing reef south of the Marine Science Station. The colony grows from a depth of ca 4.5 m, reaches a height of 3.5 m and a maximum diameter of approximately 5.5 m. We drilled with a hand held pneumatic drill powered by compressed air from a Scuba tank. We used a conventional 30cm diamond-tipped drill bit and in order to obtain longer cores we constructed extensions of 100cm each (3 in total). The extensions are made from a 17mm diameter steel rod with a screw thread attached either to the core barrel or another extension. Up to 320 cm long cores in 30cm lengths with 100% recovery were obtained. The core holes were filled with cement plugs after drilling to prevent bioerosion  (see Hudson 1981; Winter et al. 1991) . The cores were drilled parallel to the growth axis (perpendicular to the coral surface). Five cores were extracted from the "big" Porites sp. at different sides of the colony. Three cores (19, 20, 21) are of 130 cm length, core 24 (lying SE-side of the colony at an angle of 45�) reached 229 cm length, and core 18 (top of the colony) recovered coral skeleton to a total length of 312 cm.  For oxygen and carbon isotope analysis core 18 (top of colony) and core 19 (horizontal core from the southern side) were selected.  Samples for isotopic analyses were treated with 35% hydrogen peroxide for 24 hours to remove oxidizable organic material. In addition they were rinsed several times in demineralized water and dried in a stove at 40�C. Small samples to determine the average isotope composition of each year were cut with a hand held saw. They were taken along the edge of the coral slabs. The top of LD-bands was chosen as the end (respectively beginning) of an annual band. In all our samples this boundary is sharp and can be determined relatively precisely. Each chip was gently powdered in an agate mortar. The samples were reacted with 100% H3PO4 at 75�C in an online, automated carbonate reaction device (Kiel Device) connected to a Finnigan Mat 252 mass spectrometer. Isotopic ratios were corrected for 17-O contribution  (Craig 1957)  and are reported in permil relative to PDB. Average precision based on duplicate sample analysis and on multiple analysis of NBS 19 is �0.04 permil for d13C and �0.08 permil for d18O.
#--------------------
# Publication 
#       Authors: Heiss, G. A.
#       Published_Date_or_Year: 1994     
#       Published_Title: Coral reefs in the Red Sea: Growth, production and stable isotopes
#       Journal_Name: GEOMAR
#       Volume: 32
#       Edition: 
#       Issue: 
#       Pages: 1-141
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Heiss, G. A., 1994. Coral reefs in the Red Sea: Growth, production and stable isotopes, GEOMAR Report 32: 1-141.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Gulf of Aqaba, Red Sea, Jordan
#       Location: Ocean>Indian Ocean>Red Sea
#	Country: Jordan
#	Northernmost_Latitude: 29.42
# 	Southernmost_Latitude: 29.42
# 	Easternmost_Longitude: 34.97
# 	Westernmost_Longitude: 34.97
# 	Elevation: -4.5 m
#------------------
# Data_Collection   
#	Collection_Name: 94reds02a
#	Earliest_Year: 1886
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length: 1.2 m
#	Notes: {"database":"PAGES2"} Core name- aq19. Average precision based on duplicate sample analysis and on multiple analysis of NBS 19 is �0.04 permil for d13C and �0.08 permil for d18O
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology: year of deposition derived from density banding each year represents a high density/low density band
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d13C	delta 13 Carbon, Porites sp., , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan Mat 252 mass spectrometer,N
##std_dv	standard deviation, , , unitless, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d13C	std_dv
1992	-3.96	0.02
1991	-4.08	0.03
1990	-3.75	0.02
1989	-4.1	0.02
1988	-3.88	0.04
1987	-3.74	0.02
1986	-3.22	0.05
1985	-3.31	0.04
1984	-3.07	0.02
1983	-3.21	0.03
1982	-3.25	0.03
1981	-3.21	0.01
1980	-2.71	0.02
1979	-2.32	0.03
1978	-2.19	0.03
1977	-2.12	0.03
1976	-2.01	0.01
1975	-2.2	0.03
1974	-2.42	0.03
1973	-2.27	0.03
1972	-2.33	0.02
1971	-2.46	0.01
1970	-3.02	0.02
1969	-3.09	0.01
1968	-2.99	0.03
1967	-2.63	0.02
1966	-2.23	0.03
1965	-2.25	0.04
1964	-1.95	0.02
1963	-2.43	0.02
1962	-2.51	0.01
1961	-2.74	0.02
1960	-2.77	0.03
1959	-2.46	0.02
1958	-1.98	0.03
1957	-2.45	0.02
1956	-2.21	0.02
1955	-2.03	0.03
1954	-1.95	0.03
1953	-1.74	0.02
1952	-1.44	0.01
1951	-1.74	0.02
1950	-1.82	0.02
1949	-1.71	0.01
1948	-1.57	0.02
1947	-1.68	0.01
1946	-2.12	0.02
1945	-2.6	0.02
1944	-2.89	0.03
1943	-2.1	0.02
1942	-2.03	0.01
1941	-2.05	0.02
1940	-2.23	0.02
1939	-2.39	0.02
1938	-1.83	0.02
1937	-1.58	0.01
1936	-1.47	0.02
1935	-1.26	0.02
1934	-1.26	0.02
1933	-1.71	0.02
1932	-2.65	0.02
1931	-2.07	0.01
1930	-1.75	0.02
1929	-1.87	0.01
1928	-1.41	0.02
1927	-1.64	0.03
1926	-1.73	0.01
1925	-1.31	0.03
1924	-1.53	0.02
1923	-1.58	0.01
1922	-1.65	0.01
1921	-1.47	0.01
1920	-1.51	0.01
1919	-1.44	0.02
1918	-1.95	0.02
1917	-2.35	0.02
1916	-2.44	0.03
1915	-2.73	0.01
1914	-2.56	0.02
1913	-1.81	0.02
1912	-1.87	0.02
1911	-1.8	0.03
1910	-1.59	0.03
1909	-1.72	0.01
1908	-1.54	0.02
1907	-1.81	0.02
1906	-1.41	0.02
1905	-1.67	0.01
1904	-1.64	0.01
1903	-1.81	0.01
1902	-1.4	0.01
1901	-1.84	0.01
1900	-1.97	0.02
1899	-1.79	0.01
1898	-2.15	0.01
1897	-2.82	0.01
1896	-1.68	0.02
1895	-1.8	0.01
1894	-2.29	0.01
1893	-3.04	0.02
1892	-2.48	0.01
1891	-2.03	0.02
1890	-1.99	0.01
1889	-2.35	0.01
1888	-2.2	0.01
1887	-1.91	0.03
1886	-2.05	0.01
