#  Global and Hemispheric 400 Year Glacier Length Temperature Reconstructions
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:13544
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/leclercq2012/leclercq2012global.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
# --------------------
# Contribution_date
#	Date: 2012-11-30
# --------------------
# Title 
#	Study_Name:  Global and Hemispheric 400 Year Glacier Length Temperature Reconstructions

# --------------------
# Investigators
#	Investigators:  Leclercq, P.W.; Oerlemans, J.
# --------------------
# Description_and_Notes
# 	Description:  Global, Northern hemisphere, and Southern hemisphere temperature reconstructions for period 1600 to 2000, based on world-wide glacier length changes. Data are the reconstructed temperature anomaly w.r.t. the 1961-1990 average temperature, plus the uncertainty at 95% confidence interval.
# --------------------
# Publication
#	Authors:  Paul Willem Leclercq and Johannes Oerlemans
#	Published_Date_or_Year:  2012- 03- 01
#	Published_Title:  Global and hemispheric temperature reconstruction from glacier length fluctuations
#	Journal_Name: Climate Dynamics
#	Volume:  38
#	Edition:  5-6
#	Issue:  1065-1079
#	Pages:  437-449
#	DOI: 10.1007/s00382-011-1145-7
#	Online_Resource:  
#	Full_Citation:  
#	Abstract:  Temperature reconstructions for recent centuries provide a historical context for the warming over the twentieth century. We reconstruct annual averaged surface temperatures of the past 400 years on hemispherical and global scale from glacier length fluctuations. We use the glacier length records of 308 glaciers. The reconstruction is a temperature proxy with decadal resolution that is completely independent of other temperature records. Temperatures are derived from glacier length changes using a linear response equation and an analytical glacier model that is calibrated on numerical model results. The global and hemispherical temperatures reconstructed from glacier length fluctuations are in good agreement with the instrumental record of the last century. Furthermore our results agree with existing multi-proxy reconstructions of temperature in the pre-instrumental period. The temperature record obtained from glacier fluctuations confirms the pronounced warming of the twentieth century, giving a global cumulative warming of 0.94 Â± 0.31 K over the period 1830-2000 and a cumulative warming of 0.84 Â± 0.35 K over the period 1600-2000.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:  
# --------------------
# Site_Information
#	Site_Name: Global
#	Location: Geographic Region> Global
#	Country:  
#	Northernmost_Latitude: 0
#	Southernmost_Latitude: 90
#	Easternmost_Longitude:  180
#	Westernmost_Longitude: -180
#	Elevation:  m
# --------------------
# Data_Collection
#	Collection_Name: 12Glob03
#	Earliest_Year:  1600
#	Most_Recent_Year:  2000
#	Time_Unit: y_ad
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,years AD,,,,,N 
##tempanom-ann	surface temperature anomaly (degrees C), Annual, , , degrees C anomaly w.r.t. the 1961-1990 average temperature, , , , N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	tempanom-ann
1600	-0.811199
1601	-0.75802
1602	-0.757023
1603	-0.756111
1604	-0.755202
1605	-0.754293
1606	-0.753382
1607	-0.752473
1608	-0.751565
1609	-0.75066
1610	-0.749694
1611	-0.648835
1612	-0.647964
1613	-0.647112
1614	-0.646264
1615	-0.645422
1616	-0.644585
1617	-0.643754
1618	-0.642928
1619	-0.642107
1620	-0.641283
1621	-0.640464
1622	-0.639661
1623	-0.638864
1624	-0.638073
1625	-0.637288
1626	-0.636509
1627	-0.635736
1628	-0.63497
1629	-0.551402
1630	-0.550725
1631	-0.550054
1632	-0.549388
1633	-0.548729
1634	-0.548075
1635	-0.547428
1636	-0.546786
1637	-0.54615
1638	-0.545519
1639	-0.544895
1640	-0.634791
1641	-0.633997
1642	-0.633218
1643	-0.632446
1644	-0.63168
1645	-0.630919
1646	-0.630164
1647	-0.629416
1648	-0.628673
1649	-0.62793
1650	-0.627192
1651	-0.626468
1652	-0.62575
1653	-0.625039
1654	-0.624334
1655	-0.623636
1656	-0.622944
1657	-0.622259
1658	-0.62158
1659	-0.649444
1660	-0.648805
1661	-0.740285
1662	-0.739453
1663	-0.743427
1664	-0.837998
1665	-0.81383
1666	-0.812885
1667	-0.811919
1668	-0.810978
1669	-0.810041
1670	-0.809095
1671	-0.80815
1672	-0.80724
1673	-0.806407
1674	-0.805555
1675	-0.80462
1676	-0.769966
1677	-0.768963
1678	-0.767957
1679	-0.766944
1680	-0.765924
1681	-0.762775
1682	-0.761732
1683	-0.760665
1684	-0.75959
1685	-0.758504
1686	-0.75741
1687	-0.715352
1688	-0.714925
1689	-0.71527
1690	-0.715569
1691	-0.715814
1692	-0.715982
1693	-0.716069
1694	-0.716069
1695	-0.71598
1696	-0.715163
1697	-0.714239
1698	-0.713825
1699	-0.71325
1700	-0.712475
1701	-0.711347
1702	-0.709793
1703	-0.708021
1704	-0.706102
1705	-0.703973
1706	-0.70173
1707	-0.699468
1708	-0.697207
1709	-0.694964
1710	-0.692754
1711	-0.69059
1712	-0.688488
1713	-0.686443
1714	-0.684444
1715	-0.682494
1716	-0.680585
1717	-0.678707
1718	-0.676853
1719	-0.675014
1720	-0.673186
1721	-0.671361
1722	-0.669535
1723	-0.667705
1724	-0.665824
1725	-0.663788
1726	-0.661505
1727	-0.658905
1728	-0.655912
1729	-0.652444
1730	-0.648395
1731	-0.643635
1732	-0.63795
1733	-0.63067
1734	-0.621306
1735	-0.610354
1736	-0.598447
1737	-0.585996
1738	-0.57333
1739	-0.560622
1740	-0.547993
1741	-0.53512
1742	-0.521918
1743	-0.509406
1744	-0.498534
1745	-0.489634
1746	-0.482909
1747	-0.478404
1748	-0.476009
1749	-0.475605
1750	-0.477088
1751	-0.480356
1752	-0.485273
1753	-0.491571
1754	-0.498849
1755	-0.506614
1756	-0.513683
1757	-0.51906
1758	-0.523405
1759	-0.5277
1760	-0.532295
1761	-0.537361
1762	-0.54295
1763	-0.54902
1764	-0.555314
1765	-0.561454
1766	-0.567409
1767	-0.573142
1768	-0.578449
1769	-0.583439
1770	-0.588087
1771	-0.592083
1772	-0.595457
1773	-0.59839
1774	-0.600948
1775	-0.603204
1776	-0.605195
1777	-0.606935
1778	-0.608477
1779	-0.609873
1780	-0.61116
1781	-0.612399
1782	-0.613624
